招聘岗位,薪酬,地点,所需学历,工作经验,公司名称,公司性质,公司福利
"
													HRBP（内容质量中心） ",面议,['成都-锦江区'],统招本科,3年以上,['字节跳动'],['D轮'], 六险一金 弹性工作 餐补 租房补贴 带薪休假 休闲下午茶 扁平管理 过亿用户 团队氛围好,互联网/移动互联网/电子商务,10000人以上
"
													HRBP ",面议,['济南-历下区'],统招本科,2年以上,['新城控股集团住宅开发事业部'],['未融资'], 节日礼物 团队聚餐 定期体检 公司规模大,房地产开发/建筑/建材/工程,2000-5000人
"
													HRBP ",10-15k·13薪,['北京'],统招本科,1年以上,['爱美客技术发展股份有限公司'],['未融资'], 绩效奖金 午餐补助 弹性工作 五险一金 发展空间大,制药/生物工程,100-499人
"
													HRBP-组织发展方向 ",面议,['成都-锦江区'],本科及以上,5年以上,['字节跳动'],['D轮'], 六险一金 弹性工作 餐补 租房补贴 带薪休假 休闲下午茶 扁平管理 过亿用户 职业大牛 团队氛围好,互联网/移动互联网/电子商务,10000人以上
"
													人力资源专员/主管/HRBP ",5-10k·12薪,['郑州'],大专及以上,2年以上,['上海嘉来'],['未融资'], 领导好 技能培训 岗位晋升 发展空间大 ,房地产开发/建筑/建材/工程,100-499人
"
													人力资源伙伴(HRBP) ",6-8k·12薪,['重庆-渝中区'],本科及以上,3年以上,['恒天财富'],['A轮'],,投资理财,5000-10000人
"
													人力资源伙伴(HRBP) ",面议,['广州'],统招本科,5年以上,['泉后集团'],[], 年底双薪 绩效奖金 带薪年假 定期体检 扁平管理 技能培训 岗位晋升 五险一金 团队聚餐 发展空间大,互联网/移动互联网/电子商务,1000-2000人
"
													HRBP ",面议,['上海'],统招本科,5年以上,['圣邦微电子'],['IPO上市'], 年底双薪 股票期权 绩效奖金 带薪年假 定期体检 弹性工作 五险一金 上市公司,电子技术/半导体/集成电路,100-499人
"
													营销HRBP（母婴日化产品） ",6-8k·12薪,['广州'],统招本科,经验不限,['康芝药业'],['IPO上市'], 带薪年假 午餐补助 技能培训 五险一金 上市公司,制药/生物工程,500-999人
"
													HRBP ",8-10k·12薪,['武汉-崇仁'],本科及以上,4年以上,['北京大生知行科技有限公司上海分公司'],['未融资'], 节日礼物 五险一金 团队聚餐 上市公司 子女福利 发展空间大 公司规模大,教育/培训/学术/科研/院校,2000-5000人
"
													HRBP ",8-10k·12薪,['武汉-光谷'],本科及以上,4年以上,['北京大生知行科技有限公司上海分公司'],['未融资'], 节日礼物 五险一金 团队聚餐 上市公司 子女福利 发展空间大 公司规模大,教育/培训/学术/科研/院校,2000-5000人
"
													人力资源业务合作伙伴（HRBP）-武汉 ",8-15k·14薪,['武汉-水果湖'],本科及以上,5年以上,['泰格医药'],['IPO上市'], 交通补助 五险一金 午餐补助 定期体检 通讯津贴 管理规范 技能培训 绩效奖金 发展空间大,制药/生物工程,2000-5000人
"
													重庆hrbp ",10-15k·12薪,['成都'],本科及以上,3年以上,['北京人和易行科技有限公司'],['战略投资'],,汽车/摩托车,100-499人
"
													海外HRBP ",25-40k·18薪,['深圳-西丽'],统招本科,3年以上,['深圳雾芯科技有限公司'],['A轮'], 股票期权 带薪年假 扁平管理 管理规范 岗位晋升 五险一金,电子商务,100-499人
"
													中西部HRBP ",15-20k·12薪,['郑州-中原区'],统招本科,5年以上,['北京掌上先机网络科技有限公司'],['A轮'], 年底双薪 带薪年假 交通补助 通讯津贴 午餐补助 岗位晋升 发展空间大,互联网/移动互联网/电子商务,1000-2000人
"
													大区HRBP ",10-15k·12薪,['郑州-中原区'],统招本科,3年以上,['北京掌上先机网络科技有限公司'],['A轮'], 年底双薪 带薪年假 交通补助 通讯津贴 午餐补助 岗位晋升 发展空间大,互联网/移动互联网/电子商务,1000-2000人
"
													HRBP ",5-10k·12薪,['郑州-建设路'],统招本科,2年以上,['北京掌上先机网络科技有限公司'],['A轮'], 年底双薪 带薪年假 交通补助 通讯津贴 午餐补助 岗位晋升 发展空间大,互联网/移动互联网/电子商务,1000-2000人
"
													营销HRBP ",12-15k·15薪,['南京-栖霞区'],本科及以上,3年以上,['新城控股集团住宅开发事业部'],['未融资'], 定期体检 车辆津贴 五险一金 上市公司 带薪年假 午餐补助 岗位晋升 生育补贴,房地产开发/建筑/建材/工程,2000-5000人
"
													hrbp ",面议,['佛山-顺德区'],统招本科,3年以上,['美的集团IoT公司'],[], 带薪年假 午餐补助 免费班车 扁平管理 管理规范 五险一金 上市公司 500强 领导好 发展空间大,互联网/移动互联网/电子商务,100-499人
"
													HRBP ",15-25k·12薪,['北京'],本科及以上,3年以上,['点点互动(北京)科技'],['B轮'], 绩效奖金 带薪年假 午餐补助 弹性工作 节日礼物 扁平管理 岗位晋升 五险一金 团队聚餐 上市公司,游戏产业,100-499人
"
													hrbp主管 ",6-9k·13薪,['佛山'],本科及以上,4年以上,['广东申菱环境系统股份有限公司'],['未融资'], 绩效奖金 带薪年假 午餐补助 节日礼物 岗位晋升 五险一金 团队聚餐 子女福利 领导好 公司规模大,机械制造/机电/重工,2000-5000人
"
													人力资源伙伴(HRBP) ",7-12k·12薪,['武汉'],本科及以上,5年以上,['武汉厚德载物在线科技有限公司'],['未融资'],,教育/培训/学术/科研/院校,10000人以上
